2025-03-05 13:35:05 - [SENT] to Machine 1, Logical clock: 50
2025-03-05 13:35:05 - [SENT] to Machine 2, Logical clock: 50
2025-03-05 13:35:06 - [INTERNAL], Logical clock: 52
2025-03-05 13:35:07 - [SENT] to Machine 1, Logical clock: 52
2025-03-05 13:35:07 - [SENT] to Machine 2, Logical clock: 52
2025-03-05 13:35:08 - [SENT] to Machine 1, Logical clock: 53
2025-03-05 13:35:08 - [SENT] to Machine 2, Logical clock: 53
2025-03-05 13:35:09 - [SENT] to Machine 1, Logical clock: 54
2025-03-05 13:35:09 - [SENT] to Machine 2, Logical clock: 54
2025-03-05 13:35:10 - [INTERNAL], Logical clock: 56
