timestamp,operation,logical_clock,queue_length
2025-03-05 13:12:40,SENT,0,0
2025-03-05 13:12:40,RECEIVED,2,1
2025-03-05 13:12:41,RECEIVED,3,0
2025-03-05 13:12:42,SENT,3,0
2025-03-05 13:12:43,SENT,4,0
2025-03-05 13:12:44,INTERNAL,6,0
2025-03-05 13:12:45,INTERNAL,7,0
2025-03-05 13:12:46,RECEIVED,8,1
2025-03-05 13:12:47,RECEIVED,9,2
2025-03-05 13:12:48,RECEIVED,10,3
2025-03-05 13:12:49,RECEIVED,11,3
2025-03-05 13:12:50,RECEIVED,12,2
2025-03-05 13:12:51,RECEIVED,13,2
2025-03-05 13:12:53,RECEIVED,14,1
2025-03-05 13:12:54,RECEIVED,15,2
2025-03-05 13:12:55,RECEIVED,16,2
2025-03-05 13:12:56,RECEIVED,17,2
2025-03-05 13:12:57,RECEIVED,18,2
2025-03-05 13:12:58,RECEIVED,19,2
2025-03-05 13:12:59,RECEIVED,20,1
2025-03-05 13:13:00,RECEIVED,21,1
2025-03-05 13:13:01,RECEIVED,22,2
2025-03-05 13:13:02,RECEIVED,23,2
2025-03-05 13:13:03,RECEIVED,24,2
2025-03-05 13:13:04,RECEIVED,25,2
2025-03-05 13:13:05,RECEIVED,26,3
2025-03-05 13:13:06,RECEIVED,27,3
2025-03-05 13:13:07,RECEIVED,28,2
2025-03-05 13:13:08,RECEIVED,29,1
2025-03-05 13:13:09,RECEIVED,30,2
2025-03-05 13:13:10,RECEIVED,31,4
2025-03-05 13:13:11,RECEIVED,32,5
2025-03-05 13:13:12,RECEIVED,33,4
2025-03-05 13:13:13,RECEIVED,34,7
2025-03-05 13:13:14,RECEIVED,35,7
2025-03-05 13:13:16,RECEIVED,36,8
2025-03-05 13:13:17,RECEIVED,37,8
2025-03-05 13:13:18,RECEIVED,38,9
2025-03-05 13:13:19,RECEIVED,39,8
2025-03-05 13:13:20,RECEIVED,40,7
2025-03-05 13:13:21,RECEIVED,41,7
2025-03-05 13:13:22,RECEIVED,42,7
2025-03-05 13:13:23,RECEIVED,43,6
2025-03-05 13:13:24,RECEIVED,44,5
2025-03-05 13:13:25,RECEIVED,45,5
2025-03-05 13:13:26,RECEIVED,46,5
2025-03-05 13:13:27,RECEIVED,47,5
2025-03-05 13:13:28,RECEIVED,48,6
2025-03-05 13:13:29,RECEIVED,49,5
2025-03-05 13:13:30,RECEIVED,50,6
2025-03-05 13:13:32,RECEIVED,51,7
2025-03-05 13:13:33,RECEIVED,52,8
2025-03-05 13:13:34,RECEIVED,53,9
2025-03-05 13:13:35,RECEIVED,54,8
2025-03-05 13:13:36,RECEIVED,55,8
2025-03-05 13:13:37,RECEIVED,56,8
