2025-03-05 14:29:08 - [RECEIVED] from Machine 1, Logical clock: 150, Queue length: 44
2025-03-05 14:29:09 - [RECEIVED] from Machine 1, Logical clock: 152, Queue length: 43
2025-03-05 14:29:10 - [RECEIVED] from Machine 1, Logical clock: 153, Queue length: 43
2025-03-05 14:29:11 - [RECEIVED] from Machine 2, Logical clock: 154, Queue length: 43
2025-03-05 14:29:12 - [RECEIVED] from Machine 1, Logical clock: 158, Queue length: 44
2025-03-05 14:29:14 - [RECEIVED] from Machine 2, Logical clock: 159, Queue length: 43
2025-03-05 14:29:15 - [RECEIVED] from Machine 1, Logical clock: 160, Queue length: 43
2025-03-05 14:29:16 - [RECEIVED] from Machine 1, Logical clock: 164, Queue length: 42
2025-03-05 14:29:17 - [RECEIVED] from Machine 1, Logical clock: 165, Queue length: 43
2025-03-05 14:29:18 - [RECEIVED] from Machine 1, Logical clock: 168, Queue length: 42
2025-03-05 14:29:19 - [RECEIVED] from Machine 1, Logical clock: 169, Queue length: 42
2025-03-05 14:29:20 - [RECEIVED] from Machine 1, Logical clock: 170, Queue length: 41
2025-03-05 14:29:21 - [RECEIVED] from Machine 1, Logical clock: 180, Queue length: 40
2025-03-05 14:29:22 - [RECEIVED] from Machine 1, Logical clock: 186, Queue length: 39
2025-03-05 14:29:23 - [RECEIVED] from Machine 2, Logical clock: 187, Queue length: 39
2025-03-05 14:29:24 - [RECEIVED] from Machine 1, Logical clock: 190, Queue length: 39
2025-03-05 14:29:25 - [RECEIVED] from Machine 1, Logical clock: 191, Queue length: 38
2025-03-05 14:29:26 - [RECEIVED] from Machine 1, Logical clock: 195, Queue length: 37
2025-03-05 14:29:27 - [RECEIVED] from Machine 1, Logical clock: 196, Queue length: 37
2025-03-05 14:29:28 - [RECEIVED] from Machine 1, Logical clock: 197, Queue length: 36
2025-03-05 14:29:29 - [RECEIVED] from Machine 1, Logical clock: 198, Queue length: 37
2025-03-05 14:29:30 - [RECEIVED] from Machine 1, Logical clock: 203, Queue length: 39
2025-03-05 14:29:31 - [RECEIVED] from Machine 1, Logical clock: 204, Queue length: 42
2025-03-05 14:29:33 - [RECEIVED] from Machine 2, Logical clock: 205, Queue length: 43
2025-03-05 14:29:34 - [RECEIVED] from Machine 2, Logical clock: 206, Queue length: 42
2025-03-05 14:29:35 - [RECEIVED] from Machine 2, Logical clock: 207, Queue length: 44
2025-03-05 14:29:36 - [RECEIVED] from Machine 1, Logical clock: 208, Queue length: 46
2025-03-05 14:29:37 - [RECEIVED] from Machine 1, Logical clock: 214, Queue length: 45
2025-03-05 14:29:38 - [RECEIVED] from Machine 2, Logical clock: 216, Queue length: 45
2025-03-05 14:29:39 - [RECEIVED] from Machine 1, Logical clock: 222, Queue length: 45
2025-03-05 14:29:40 - [RECEIVED] from Machine 1, Logical clock: 223, Queue length: 45
2025-03-05 14:29:41 - [RECEIVED] from Machine 1, Logical clock: 224, Queue length: 45
2025-03-05 14:29:42 - [RECEIVED] from Machine 1, Logical clock: 225, Queue length: 47
2025-03-05 14:29:43 - [RECEIVED] from Machine 1, Logical clock: 230, Queue length: 48
2025-03-05 14:29:44 - [RECEIVED] from Machine 1, Logical clock: 231, Queue length: 47
2025-03-05 14:29:45 - [RECEIVED] from Machine 1, Logical clock: 233, Queue length: 48
2025-03-05 14:29:46 - [RECEIVED] from Machine 1, Logical clock: 234, Queue length: 47
2025-03-05 14:29:47 - [RECEIVED] from Machine 1, Logical clock: 235, Queue length: 48
2025-03-05 14:29:48 - [RECEIVED] from Machine 1, Logical clock: 236, Queue length: 48
2025-03-05 14:29:49 - [RECEIVED] from Machine 1, Logical clock: 237, Queue length: 49
2025-03-05 14:29:50 - [RECEIVED] from Machine 1, Logical clock: 238, Queue length: 50
2025-03-05 14:29:51 - [RECEIVED] from Machine 2, Logical clock: 239, Queue length: 49
2025-03-05 14:29:52 - [RECEIVED] from Machine 1, Logical clock: 251, Queue length: 48
2025-03-05 14:29:53 - [RECEIVED] from Machine 1, Logical clock: 252, Queue length: 50
2025-03-05 14:29:54 - [RECEIVED] from Machine 1, Logical clock: 256, Queue length: 50
