timestamp,operation,logical_clock,queue_length
2025-03-05 13:37:58,SENT,0,0
2025-03-05 13:37:59,SENT,0,0
2025-03-05 13:37:59,SENT,1,0
2025-03-05 13:37:59,SENT,1,0
2025-03-05 13:38:00,INTERNAL,3,0
2025-03-05 13:38:01,INTERNAL,4,0
2025-03-05 13:38:02,INTERNAL,5,0
2025-03-05 13:38:03,SENT,5,0
2025-03-05 13:38:03,SENT,5,0
2025-03-05 13:38:04,SENT,6,0
2025-03-05 13:38:04,SENT,6,0
2025-03-05 13:38:05,INTERNAL,8,0
2025-03-05 13:38:06,SENT,8,0
2025-03-05 13:38:07,SENT,8,0
2025-03-05 13:38:07,INTERNAL,10,0
2025-03-05 13:38:08,INTERNAL,11,0
2025-03-05 13:38:09,SENT,11,0
2025-03-05 13:38:10,SENT,11,0
2025-03-05 13:38:10,RECEIVED,13,2
2025-03-05 13:38:11,RECEIVED,14,1
2025-03-05 13:38:12,RECEIVED,15,0
2025-03-05 13:38:13,INTERNAL,16,0
2025-03-05 13:38:14,RECEIVED,17,3
2025-03-05 13:38:15,RECEIVED,18,2
2025-03-05 13:38:16,RECEIVED,19,1
2025-03-05 13:38:17,RECEIVED,20,2
2025-03-05 13:38:18,RECEIVED,21,4
2025-03-05 13:38:19,RECEIVED,22,6
2025-03-05 13:38:21,RECEIVED,23,7
2025-03-05 13:38:22,RECEIVED,24,8
2025-03-05 13:38:23,RECEIVED,25,9
2025-03-05 13:38:24,RECEIVED,26,10
2025-03-05 13:38:25,RECEIVED,27,10
2025-03-05 13:38:26,RECEIVED,28,9
2025-03-05 13:38:27,RECEIVED,29,8
2025-03-05 13:38:28,RECEIVED,30,9
2025-03-05 13:38:29,RECEIVED,31,10
2025-03-05 13:38:30,RECEIVED,32,9
2025-03-05 13:38:31,RECEIVED,33,8
2025-03-05 13:38:32,RECEIVED,34,7
2025-03-05 13:38:33,RECEIVED,35,8
2025-03-05 13:38:34,RECEIVED,36,9
2025-03-05 13:38:35,RECEIVED,37,9
2025-03-05 13:38:36,RECEIVED,38,10
2025-03-05 13:38:37,RECEIVED,39,10
2025-03-05 13:38:38,RECEIVED,40,12
2025-03-05 13:38:39,RECEIVED,41,13
2025-03-05 13:38:40,RECEIVED,42,15
2025-03-05 13:38:41,RECEIVED,43,14
2025-03-05 13:38:42,RECEIVED,44,15
2025-03-05 13:38:43,RECEIVED,45,16
2025-03-05 13:38:44,RECEIVED,46,15
2025-03-05 13:38:46,RECEIVED,47,16
2025-03-05 13:38:47,RECEIVED,48,18
2025-03-05 13:38:48,RECEIVED,49,17
2025-03-05 13:38:49,RECEIVED,50,19
2025-03-05 13:38:50,RECEIVED,51,20
2025-03-05 13:38:51,RECEIVED,52,20
2025-03-05 13:38:52,RECEIVED,53,19
2025-03-05 13:38:53,RECEIVED,54,20
2025-03-05 13:38:54,RECEIVED,55,20
2025-03-05 13:38:55,RECEIVED,56,20
