2025-03-04 01:20:18 - [INIT] with clock rate 3 and peers ['localhost:50051', 'localhost:50052'], [1, 2]
2025-03-04 01:20:20 - [INTERNAL], Logical clock: 1
2025-03-04 01:20:20 - [RECEIVED] from Machine 2, Logical clock: 2, Queue length: 1
2025-03-04 01:20:21 - [RECEIVED] from Machine 2, Logical clock: 3, Queue length: 1
2025-03-04 01:20:21 - [RECEIVED] from Machine 1, Logical clock: 4, Queue length: 0
2025-03-04 01:20:21 - [INTERNAL], Logical clock: 5
2025-03-04 01:20:22 - [INTERNAL], Logical clock: 6
2025-03-04 01:20:22 - [INTERNAL], Logical clock: 7
2025-03-04 01:20:22 - [RECEIVED] from Machine 2, Logical clock: 8, Queue length: 1
2025-03-04 01:20:23 - [RECEIVED] from Machine 1, Logical clock: 9, Queue length: 1
2025-03-04 01:20:23 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 0
2025-03-04 01:20:24 - [INTERNAL], Logical clock: 11
2025-03-04 01:20:24 - [INTERNAL], Logical clock: 12
2025-03-04 01:20:24 - [INTERNAL], Logical clock: 13
2025-03-04 01:20:25 - [INTERNAL], Logical clock: 14
2025-03-04 01:20:25 - [INTERNAL], Logical clock: 15
2025-03-04 01:20:25 - [RECEIVED] from Machine 2, Logical clock: 16, Queue length: 1
2025-03-04 01:20:26 - [RECEIVED] from Machine 2, Logical clock: 17, Queue length: 0
2025-03-04 01:20:26 - [SENT] to Machine 1, Logical clock: 17
2025-03-04 01:20:26 - [RECEIVED] from Machine 1, Logical clock: 19, Queue length: 0
2025-03-04 01:20:27 - [INTERNAL], Logical clock: 20
2025-03-04 01:20:27 - [INTERNAL], Logical clock: 21
2025-03-04 01:20:28 - [INTERNAL], Logical clock: 22
2025-03-04 01:20:28 - [SENT] to Machine 1, Logical clock: 22
2025-03-04 01:20:28 - [SENT] to Machine 2, Logical clock: 22
2025-03-04 01:20:28 - [INTERNAL], Logical clock: 24
2025-03-04 01:20:29 - [SENT] to Machine 1, Logical clock: 24
2025-03-04 01:20:29 - [SENT] to Machine 2, Logical clock: 24
2025-03-04 01:20:29 - [INTERNAL], Logical clock: 26
2025-03-04 01:20:30 - [SENT] to Machine 1, Logical clock: 26
2025-03-04 01:20:30 - [INTERNAL], Logical clock: 28
2025-03-04 01:20:30 - [INTERNAL], Logical clock: 29
2025-03-04 01:20:31 - [SENT] to Machine 1, Logical clock: 29
2025-03-04 01:20:31 - [INTERNAL], Logical clock: 31
2025-03-04 01:20:31 - [INTERNAL], Logical clock: 32
2025-03-04 01:20:32 - [SENT] to Machine 2, Logical clock: 32
2025-03-04 01:20:32 - [INTERNAL], Logical clock: 34
2025-03-04 01:20:32 - [INTERNAL], Logical clock: 35
2025-03-04 01:20:33 - [INTERNAL], Logical clock: 36
2025-03-04 01:20:33 - [INTERNAL], Logical clock: 37
2025-03-04 01:20:34 - [INTERNAL], Logical clock: 38
2025-03-04 01:20:34 - [SENT] to Machine 1, Logical clock: 38
2025-03-04 01:20:35 - [SENT] to Machine 2, Logical clock: 38
2025-03-04 01:20:35 - [INTERNAL], Logical clock: 40
2025-03-04 01:20:35 - [INTERNAL], Logical clock: 41
2025-03-04 01:20:35 - [INTERNAL], Logical clock: 42
2025-03-04 01:20:36 - [INTERNAL], Logical clock: 43
2025-03-04 01:20:36 - [INTERNAL], Logical clock: 44
2025-03-04 01:20:37 - [INTERNAL], Logical clock: 45
2025-03-04 01:20:37 - [SENT] to Machine 2, Logical clock: 45
2025-03-04 01:20:37 - [INTERNAL], Logical clock: 47
2025-03-04 01:20:38 - [INTERNAL], Logical clock: 48
2025-03-04 01:20:38 - [INTERNAL], Logical clock: 49
2025-03-04 01:20:38 - [INTERNAL], Logical clock: 50
2025-03-04 01:20:39 - [INTERNAL], Logical clock: 51
2025-03-04 01:20:39 - [INTERNAL], Logical clock: 52
2025-03-04 01:20:40 - [SENT] to Machine 1, Logical clock: 52
2025-03-04 01:20:40 - [SENT] to Machine 2, Logical clock: 52
2025-03-04 01:20:40 - [INTERNAL], Logical clock: 54
2025-03-04 01:20:40 - [RECEIVED] from Machine 2, Logical clock: 55, Queue length: 0
2025-03-04 01:20:40 - [INTERNAL], Logical clock: 56
2025-03-04 01:20:41 - [INTERNAL], Logical clock: 57
2025-03-04 01:20:41 - [INTERNAL], Logical clock: 58
2025-03-04 01:20:42 - [INTERNAL], Logical clock: 59
2025-03-04 01:20:42 - [INTERNAL], Logical clock: 60
2025-03-04 01:20:42 - [INTERNAL], Logical clock: 61
2025-03-04 01:20:43 - [INTERNAL], Logical clock: 62
2025-03-04 01:20:43 - [INTERNAL], Logical clock: 63
2025-03-04 01:20:44 - [SENT] to Machine 1, Logical clock: 63
2025-03-04 01:20:44 - [INTERNAL], Logical clock: 65
2025-03-04 01:20:44 - [INTERNAL], Logical clock: 66
2025-03-04 01:20:45 - [SENT] to Machine 1, Logical clock: 66
2025-03-04 01:20:45 - [INTERNAL], Logical clock: 68
2025-03-04 01:20:45 - [SENT] to Machine 2, Logical clock: 68
2025-03-04 01:20:46 - [SENT] to Machine 1, Logical clock: 69
2025-03-04 01:20:46 - [SENT] to Machine 2, Logical clock: 70
2025-03-04 01:20:46 - [INTERNAL], Logical clock: 72
2025-03-04 01:20:47 - [INTERNAL], Logical clock: 73
2025-03-04 01:20:47 - [INTERNAL], Logical clock: 74
2025-03-04 01:20:48 - [INTERNAL], Logical clock: 75
2025-03-04 01:20:48 - [INTERNAL], Logical clock: 76
2025-03-04 01:20:48 - [INTERNAL], Logical clock: 77
2025-03-04 01:20:49 - [SENT] to Machine 2, Logical clock: 77
2025-03-04 01:20:49 - [INTERNAL], Logical clock: 79
2025-03-04 01:20:50 - [SENT] to Machine 1, Logical clock: 79
2025-03-04 01:20:50 - [INTERNAL], Logical clock: 81
2025-03-04 01:20:50 - [INTERNAL], Logical clock: 82
2025-03-04 01:20:50 - [INTERNAL], Logical clock: 83
