timestamp,operation,logical_clock,queue_length
2025-03-04 01:43:06,SENT,0,0
2025-03-04 01:43:06,RECEIVED,2,0
2025-03-04 01:43:06,RECEIVED,3,0
2025-03-04 01:43:06,RECEIVED,4,0
2025-03-04 01:43:07,SENT,4,0
2025-03-04 01:43:07,SENT,4,0
2025-03-04 01:43:07,SENT,5,0
2025-03-04 01:43:08,SENT,6,0
2025-03-04 01:43:08,SENT,7,0
2025-03-04 01:43:08,RECEIVED,9,0
2025-03-04 01:43:08,SENT,9,0
2025-03-04 01:43:09,SENT,9,0
2025-03-04 01:43:09,RECEIVED,11,0
2025-03-04 01:43:09,RECEIVED,12,0
2025-03-04 01:43:09,SENT,12,0
2025-03-04 01:43:10,SENT,13,0
2025-03-04 01:43:10,RECEIVED,15,0
2025-03-04 01:43:10,SENT,15,0
2025-03-04 01:43:10,SENT,16,0
2025-03-04 01:43:11,SENT,17,0
2025-03-04 01:43:11,SENT,18,0
2025-03-04 01:43:11,RECEIVED,20,1
2025-03-04 01:43:11,RECEIVED,21,0
2025-03-04 01:43:11,SENT,21,0
2025-03-04 01:43:11,SENT,21,0
2025-03-04 01:43:11,RECEIVED,23,0
2025-03-04 01:43:12,RECEIVED,24,0
2025-03-04 01:43:12,RECEIVED,25,0
2025-03-04 01:43:12,SENT,25,0
2025-03-04 01:43:12,SENT,26,0
2025-03-04 01:43:12,INTERNAL,28,0
2025-03-04 01:43:13,SENT,28,0
2025-03-04 01:43:13,SENT,28,0
2025-03-04 01:43:13,RECEIVED,30,0
2025-03-04 01:43:13,RECEIVED,31,0
2025-03-04 01:43:14,SENT,31,0
2025-03-04 01:43:14,RECEIVED,33,0
2025-03-04 01:43:14,RECEIVED,34,0
2025-03-04 01:43:14,RECEIVED,35,0
2025-03-04 01:43:14,RECEIVED,36,0
2025-03-04 01:43:15,RECEIVED,37,0
2025-03-04 01:43:15,RECEIVED,38,0
2025-03-04 01:43:15,RECEIVED,39,0
2025-03-04 01:43:15,RECEIVED,40,0
2025-03-04 01:43:15,RECEIVED,41,0
2025-03-04 01:43:16,SENT,41,0
2025-03-04 01:43:16,SENT,42,0
2025-03-04 01:43:17,RECEIVED,44,1
2025-03-04 01:43:17,RECEIVED,45,1
2025-03-04 01:43:17,RECEIVED,46,0
2025-03-04 01:43:17,RECEIVED,47,0
