2025-03-05 15:07:10 - [RECEIVED] from Machine 0, Logical clock: 115, Queue length: 19
2025-03-05 15:07:11 - [RECEIVED] from Machine 0, Logical clock: 116, Queue length: 21
2025-03-05 15:07:11 - [RECEIVED] from Machine 2, Logical clock: 117, Queue length: 23
2025-03-05 15:07:12 - [RECEIVED] from Machine 2, Logical clock: 118, Queue length: 24
2025-03-05 15:07:13 - [RECEIVED] from Machine 0, Logical clock: 127, Queue length: 24
2025-03-05 15:07:13 - [RECEIVED] from Machine 0, Logical clock: 133, Queue length: 25
2025-03-05 15:07:14 - [RECEIVED] from Machine 0, Logical clock: 135, Queue length: 24
2025-03-05 15:07:14 - [RECEIVED] from Machine 2, Logical clock: 145, Queue length: 26
2025-03-05 15:07:15 - [RECEIVED] from Machine 2, Logical clock: 146, Queue length: 27
2025-03-05 15:07:15 - [RECEIVED] from Machine 0, Logical clock: 147, Queue length: 28
2025-03-05 15:07:16 - [RECEIVED] from Machine 0, Logical clock: 148, Queue length: 28
2025-03-05 15:07:16 - [RECEIVED] from Machine 2, Logical clock: 149, Queue length: 27
2025-03-05 15:07:17 - [RECEIVED] from Machine 2, Logical clock: 150, Queue length: 28
2025-03-05 15:07:18 - [RECEIVED] from Machine 2, Logical clock: 151, Queue length: 29
2025-03-05 15:07:18 - [RECEIVED] from Machine 0, Logical clock: 152, Queue length: 28
2025-03-05 15:07:19 - [RECEIVED] from Machine 2, Logical clock: 153, Queue length: 28
2025-03-05 15:07:19 - [RECEIVED] from Machine 2, Logical clock: 154, Queue length: 29
2025-03-05 15:07:20 - [RECEIVED] from Machine 2, Logical clock: 155, Queue length: 30
2025-03-05 15:07:20 - [RECEIVED] from Machine 2, Logical clock: 162, Queue length: 30
2025-03-05 15:07:21 - [RECEIVED] from Machine 2, Logical clock: 163, Queue length: 30
2025-03-05 15:07:21 - [RECEIVED] from Machine 2, Logical clock: 165, Queue length: 30
2025-03-05 15:07:22 - [RECEIVED] from Machine 0, Logical clock: 169, Queue length: 31
2025-03-05 15:07:22 - [RECEIVED] from Machine 2, Logical clock: 170, Queue length: 30
2025-03-05 15:07:23 - [RECEIVED] from Machine 2, Logical clock: 171, Queue length: 29
2025-03-05 15:07:23 - [RECEIVED] from Machine 2, Logical clock: 172, Queue length: 30
